negative_control,antibiotic,model,split_type,fold,n_train,n_test,n,n_resistant,n_susceptible,tp,tn,fp,fn,prevalence,sensitivity,specificity,false_susceptible_rate,false_resistant_rate,balanced_accuracy,mcc,ppv,npv,auroc_binary_score,auprc_binary_score,brier_binary_score,auroc_probability,auprc_probability,brier_probability,calibration_intercept,calibration_slope
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,1,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.496274217585693,0.2654040404040404,0.1950098437496636,-0.49106983514533825,0.510690037631727
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__001,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5458333333333334,0.4787878787878788,0.2772130159392051,3.4109516590583326,3.812133510721992
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,2,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.4467213114754098,0.24490958965733065,0.1951994371069358,-4.429947818110146,-3.322015308624207
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__002,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5,0.45454545454545453,0.28708859466358927,nan,nan
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,3,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.6099105812220567,0.3163772361125641,0.1905379522941818,8.664947404029828,9.713721739261322
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__003,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5,0.45454545454545453,0.2775123117907753,nan,nan
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,4,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.3990312965722802,0.23320488161070002,0.20541473049331602,-2.8968181222678693,-1.7222498357532556
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__004,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5416666666666667,0.47619047619047616,0.27976726298875054,41.23433880660007,42.34209263083711
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,5,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5238450074515648,0.27469008264462813,0.19413074773227879,0.56371566649512,1.5004284813996704
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__005,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5302083333333333,0.4703488372093023,0.28331134719501183,2.514407400537126,2.5913665330610227
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,6,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.502608047690015,0.26742639200187823,0.19675630937028696,-1.064864285471543,-0.043160409649379096
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__006,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.3875,0.4027568039195946,0.29154438526435417,-4.412887203412685,-4.293377383337358
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,7,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5290611028315947,0.27889412416851445,0.1946139919560542,-0.0038049264107838376,0.9935257677953901
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__007,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.4895833333333333,0.4492894056847545,0.28958903440055583,-0.08255373314243666,0.09132414447166352
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,8,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5525335320417288,0.2936688311688312,0.19252605401461886,0.06795757225834978,1.0164147242615251
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__008,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5416666666666667,0.47653958944281527,0.26305117491741564,0.3542826038494895,0.7193093172875472
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,9,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5923994038748138,0.31475869809203144,0.19013799926090105,0.7900258352712421,1.7818821932743734
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__009,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.4635416666666666,0.4407575757575758,0.2744358345407238,-0.8091273839299971,-0.8083952557099323
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,10,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.4873323397913561,0.2608863646023283,0.20030999590385853,-1.225353477771535,-0.19022982893568333
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__010,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.4708333333333333,0.4405764966740576,0.2793983280596932,-1.7749347500639345,-1.7454444088928387
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,11,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.4646050670640834,0.2534227820372399,0.19700194703105411,-2.482274429570218,-1.4492154878898735
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__011,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.45,0.4311688311688311,0.28298964883729283,-51.40732711097485,-52.2472159972782
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,12,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5249627421758569,0.2743843236425506,0.19418150777639887,-0.101544797971299,0.8986526268089462
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__012,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5,0.45454545454545453,0.2794291451352273,nan,nan
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,13,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5175111773472428,0.2721177966999965,0.1976413963599985,-0.8140017446735452,0.19287113564850963
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__013,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5166666666666666,0.46297117516629716,0.2738543846033792,0.4928244781377421,0.7503305728809371
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,14,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5685543964232489,0.2983952797925514,0.19260869436512007,-0.12566003927899053,0.85163851368092
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__014,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.515625,0.46297117516629716,0.2755831406388837,0.4838543016579039,0.7242713266529841
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,15,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5126676602086438,0.2701298701298701,0.194382385228822,-0.03103010592567356,0.9449519754670089
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__015,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.475,0.44363636363636366,0.28933502476578404,-2.39959848720468,-2.0461821923102153
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,16,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.510059612518629,0.26946784001208596,0.19855550478444595,-1.3224253553297785,-0.2895840729724694
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__016,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5,0.45454545454545453,0.2830124888546447,nan,nan
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,17,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.4724292101341281,0.2501434308663224,0.19996969928874436,-1.55264339329699,-0.5145544654136288
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__017,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.525,0.48181818181818176,0.29202227146037935,98.2663654202126,86.82793652121983
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,18,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5391207153502235,0.2822099172824705,0.1942355892658528,-0.4234742042339971,0.5710190925917537
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__018,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.4458333333333333,0.42943181818181814,0.2835918387407768,-3.8257505737939828,-3.7923299786098275
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,19,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5044709388971684,0.3086801752464403,0.1954259305062269,-0.8105514498771844,0.20587598409258961
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__019,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5416666666666667,0.4797979797979798,0.2748029695755181,0.4612918597093486,0.6818627809712731
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,20,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.4783904619970194,0.25704073865704735,0.19784283194795746,-1.5520001318338197,-0.5212481212880871
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__020,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.53125,0.4717703349282296,0.28042356407500557,0.9176886861518622,1.1129504130362804
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,21,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.4470938897168405,0.24649357529445506,0.19553791231216136,-9.73580809748187,-8.43413581923254
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__021,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.45,0.4311688311688312,0.2824607655147483,-2.2825851236970163,-2.1183098671080387
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,22,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5219821162444114,0.2746973083613764,0.19450581998928965,0.28182763347865963,1.2529742907308612
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__022,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5041666666666668,0.4568181818181818,0.2846233016050265,-0.08819501645473848,0.09154043782299733
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,23,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.6274217585692996,0.3319991144169212,0.18601712579111934,1.503571694578475,2.463290837021553
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__023,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5,0.45454545454545453,0.27175993276569765,nan,nan
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,24,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.4418777943368107,0.2499905578426559,0.199833606588765,-4.3888150264099455,-3.168824878038385
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__024,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5208333333333333,0.46511627906976744,0.2849464951494376,159.9569211581401,154.56463588638988
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,25,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.555886736214605,0.2925366237677985,0.19488296645054448,-0.273391752108461,0.7077931794793887
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__025,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.525,0.48181818181818176,0.27732500433076135,11.35705203314213,11.704509763144316
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,26,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.4754098360655738,0.25567493639782796,0.19581521538568422,-2.8345218429446164,-1.7602886601613443
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__026,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5416666666666667,0.47619047619047616,0.2817873514646227,56.55312124957991,56.7017649324612
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,27,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5003725782414307,0.26540563078761326,0.1971552727990203,-1.1678407175133458,-0.14290893618883876
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__027,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5166666666666666,0.4631578947368421,0.27866047044180414,0.29025585189602826,0.4952830580691697
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,28,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5648286140089419,0.2980326902013649,0.1924619638725783,1.5373876963456006,2.502365909829909
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__028,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5041666666666668,0.4568181818181818,0.27832796472704335,0.3823900621196069,0.5973159825188177
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,29,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5678092399403876,0.29483726150392814,0.19159233581691631,0.8129531140642345,1.7917721499369477
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,HPGP_TO_EXTERNAL_RANDOM_SNP_PANEL,ZENODO_10369064__029,414,44,44,20,24,0,24,0,20,0.45454545454545453,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.5454545454545454,0.5,0.45454545454545453,0.45454545454545453,0.5208333333333333,0.46511627906976744,0.2749226082770965,14.524356089667323,16.158979945892494
SIZE_PREVALENCE_MATCHED_RANDOM_CORE_SNP_PANEL,clarithromycin,RANDOM_CORE_SNP_LOGISTIC,RANDOM_ISOLATE_RANDOM_SNP_PANEL,30,331,83,83,22,61,0,61,0,22,0.26506024096385544,0.0,1.0,1.0,0.0,0.5,0.0,nan,0.7349397590361446,0.5,0.26506024096385544,0.26506024096385544,0.5037257824143071,0.27476619765776394,0.19621220981487392,-1.3743534957619659,-0.34221700541958033
